Foe,Type,Rank
Broken,Ironlander,Troublesome
Common folk,Ironlander,Troublesome
Mystic,Ironlander,Dangerous
Warrior,Ironlander,Dangerous
Boar,Animal,Dangerous
Bonewalker,Horror,Dangerous
Band of Raiders,Ironlander,Formidable
Pack of Wolves,Animal,Formidable
Sodden,Horror,Formidable
Haunt,Horror,Formidable
Large group of Broken,Ironlander,Formidable
Large Band of Raiders,Ironlander,Extreme
Sea Primordial,Firstborn,Extreme
Tawny Wyvern,Beast,Extreme
Iron Revenant,Horror,Extreme
Chimera,Horror,Extreme
